estid,dayOfWeek,dayOfMonth,timeOfDay,url_category,domain_category
ZGkACGTapZYAAAAIB8itAw==,6,22,0,0,24
ZGkACGU2p7wAAAAIS6eLAw==,0,6,1,23,24
ZGkACGU2p7wAAAAIS6eLAw==,6,15,1,15,0
ZGkACGU2p7wAAAAIS6eLAw==,6,15,1,15,0
ZGkACGU2p7wAAAAIS6eLAw==,6,15,1,12,0
ZGkACGU2p7wAAAAIS6eLAw==,0,6,1,23,24
ZGkACGU3E1AAAAAIYp1XAw==,0,30,1,8,23
ZGkACGU3E1AAAAAIYp1XAw==,0,30,1,22,23
ZGkACGU3E1AAAAAIYp1XAw==,0,30,1,22,15
ZGkACGU3E1AAAAAIYp1XAw==,0,23,0,22,15
ZGkACGU93dYAAAAIJreJAw==,1,26,1,22,23
ZGkACGU93dYAAAAIJreJAw==,5,4,1,22,23
ZGkACGU93dYAAAAIJreJAw==,0,30,1,22,23
ZGkACGU93dYAAAAIJreJAw==,3,19,2,12,23
ZGkACGU93dYAAAAIJreJAw==,3,19,2,22,23
ZGkACGU93dYAAAAIJreJAw==,4,13,1,22,23
ZGkACGU93dYAAAAIJreJAw==,4,20,1,22,15
ZGkACGU93dYAAAAIJreJAw==,4,20,1,22,15
ZGkACGU93dYAAAAIJreJAw==,2,25,1,8,23
ZGkACGVA9A0AAAAIA5X5Aw==,1,0,0,7,7
ZGkACGVA9A0AAAAIA5X5Aw==,4,3,1,1,4
ZGkACGVA9A0AAAAIA5X5Aw==,4,3,1,4,4
ZGkACGVA9A0AAAAIA5X5Aw==,1,0,0,4,7
ZGkACGVA9A0AAAAIA5X5Aw==,1,0,0,10,7
ZGkACGVA9A0AAAAIA5X5Aw==,1,0,0,10,7
ZGkACGVVjZwAAAAIQ8zbAw==,2,11,1,5,14
ZGkACGVVjZwAAAAIQ8zbAw==,1,26,1,1,9
ZGkACGVVjZwAAAAIQ8zbAw==,1,26,1,11,9
ZGkACGVVjZwAAAAIQ8zbAw==,1,26,1,11,9
ZGkACGVVjZwAAAAIQ8zbAw==,1,26,1,5,14
ZGkACGVVjZwAAAAIQ8zbAw==,1,26,1,15,14
ZGkACGVupCsAAAAJBoP7Aw==,1,0,1,9,9
ZGkACGVupCsAAAAJBoP7Aw==,3,2,1,9,9
ZGkACGVupCsAAAAJBoP7Aw==,3,2,1,9,9
ZGkACGVupCsAAAAJBoP7Aw==,5,28,1,8,10
ZGkACGVupCsAAAAJBoP7Aw==,5,28,1,9,10
ZGkACGVupCsAAAAJBoP7Aw==,5,28,1,9,10
ZGkACGVupCsAAAAJBoP7Aw==,0,30,1,9,9
ZGkACWPbjsQAAAAIA7o2Aw==,0,30,0,16,4
ZGkACWPbjsQAAAAIA7o2Aw==,3,2,0,16,4
ZGkACWPbjsQAAAAIA7o2Aw==,6,5,1,4,10
ZGkACWPbjsQAAAAIA7o2Aw==,6,5,1,7,10
ZGkACWPbjsQAAAAIA7o2Aw==,6,5,0,2,4
ZGkACWPbjsQAAAAIA7o2Aw==,2,18,0,16,4
ZGkACWPbjsQAAAAIA7o2Aw==,0,30,1,16,3
ZGkACWPbjsQAAAAIA7o2Aw==,0,30,1,16,4
ZGkACWPbjsQAAAAIA7o2Aw==,0,11,1,3,3
ZGkACWPbjsQAAAAIA7o2Aw==,0,9,0,7,4
ZGkACWTjmXwAAAAJE9erAw==,4,27,2,15,22
ZGkACWTjmXwAAAAJE9erAw==,0,6,1,21,4
ZGkACWTjmXwAAAAJE9erAw==,0,6,1,21,4
ZGkACWTjmXwAAAAJE9erAw==,0,6,1,21,4
ZGkACWTjmXwAAAAJE9erAw==,4,27,1,12,22
ZGkACWTjmXwAAAAJE9erAw==,4,27,1,5,22
ZGkACWTjmXwAAAAJE9erAw==,0,6,1,4,4
ZGkACWVrnekAAAAICFPAAw==,5,4,1,2,2
ZGkACWVrnekAAAAICFPAAw==,6,8,1,5,4
ZGkACWVrnekAAAAICFPAAw==,6,15,1,1,4
ZGkACWVrnekAAAAICFPAAw==,6,15,1,4,4
ZGkACWVrnekAAAAICFPAAw==,4,3,1,2,2
ZGkACWVrnekAAAAICFPAAw==,5,4,1,2,2
ZGkACmPG6ysAAAAIFHAzAw==,0,30,0,14,15
ZGkACmPG6ysAAAAIFHAzAw==,5,28,2,22,15
ZGkACmPG6ysAAAAIFHAzAw==,4,3,1,22,15
ZGkACmPG6ysAAAAIFHAzAw==,1,24,2,22,15
ZGkACmPG6ysAAAAIFHAzAw==,3,19,1,22,23
ZGkACmPG6ysAAAAIFHAzAw==,1,0,1,22,15
ZGkACmPG6ysAAAAIFHAzAw==,6,29,1,22,23
ZGkACmRlDQ0AAAAII4pQAw==,3,2,2,16,17
ZGkACmRlDQ0AAAAII4pQAw==,3,2,2,16,17
ZGkACmRlDQ0AAAAII4pQAw==,6,22,1,6,13
ZGkACmRlDQ0AAAAII4pQAw==,6,22,1,13,13
ZGkACmRlDQ0AAAAII4pQAw==,3,2,2,16,17
ZGkACmT+bzwAAAAIeHQ9Aw==,6,10,2,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,6,10,2,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,0,23,1,4,15
ZGkACmT+bzwAAAAIeHQ9Aw==,6,8,1,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,2,11,2,17,15
ZGkACmT+bzwAAAAIeHQ9Aw==,4,13,1,4,15
ZGkACmT+bzwAAAAIeHQ9Aw==,4,3,1,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,2,1,1,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,2,1,0,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,0,9,2,17,15
ZGkACmT+bzwAAAAIeHQ9Aw==,6,5,1,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,1,17,1,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,4,13,1,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,4,27,1,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,0,23,1,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,0,9,1,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,2,11,2,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,3,2,1,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,1,26,1,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,0,16,1,4,15
ZGkACmT+bzwAAAAIeHQ9Aw==,0,9,1,17,15
ZGkACmT+bzwAAAAIeHQ9Aw==,6,8,1,4,11
ZGkACmT+bzwAAAAIeHQ9Aw==,2,11,2,4,11
ZGkACmT+bzwAAAAIeHQ9Aw==,2,11,2,5,11
ZGkACmT+bzwAAAAIeHQ9Aw==,0,6,1,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,6,29,2,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,4,27,2,4,15
ZGkACmT+bzwAAAAIeHQ9Aw==,3,2,1,14,15
ZGkACmT+bzwAAAAIeHQ9Aw==,0,9,1,4,15
ZGkACmT+bzwAAAAIeHQ9Aw==,0,9,1,4,15
ZGkACmT+bzwAAAAIeHQ9Aw==,5,21,1,4,15
ZGkACmT+bzwAAAAIeHQ9Aw==,5,21,1,17,15
ZGkACmTjf7MAAAAIDHimAw==,2,1,2,14,15
ZGkACmTjf7MAAAAIDHimAw==,2,1,1,6,6
ZGkACmTjf7MAAAAIDHimAw==,6,29,1,14,15
ZGkACmTjf7MAAAAIDHimAw==,1,26,1,6,6
ZGkACmTjf7MAAAAIDHimAw==,1,26,1,6,6
ZGkACmTjf7MAAAAIDHimAw==,3,2,1,14,15
ZGkACmTjf7MAAAAIDHimAw==,6,5,1,14,15
ZGkACmTjf7MAAAAIDHimAw==,6,5,1,14,15
ZGkACmTjf7MAAAAIDHimAw==,4,3,1,14,15
ZGkACmUM6+wAAAAJIeF7Aw==,3,12,1,1,11
ZGkACmUM6+wAAAAJIeF7Aw==,5,4,2,7,8
ZGkACmUM6+wAAAAJIeF7Aw==,0,6,1,8,8
ZGkACmUM6+wAAAAJIeF7Aw==,5,4,1,7,8
ZGkACmUM6+wAAAAJIeF7Aw==,5,4,2,7,8
ZGkACmUM6+wAAAAJIeF7Aw==,6,5,1,7,8
ZGkACmUM6+wAAAAJIeF7Aw==,3,12,1,1,11
ZGkACmUM6+wAAAAJIeF7Aw==,3,12,1,4,11
ZGkACmUM6+wAAAAJIeF7Aw==,3,12,1,5,11
ZGkACmUM6+wAAAAJIeF7Aw==,5,4,1,7,8
ZGkACmUM6+wAAAAJIeF7Aw==,5,4,1,8,8
ZGkACmUM6+wAAAAJIeF7Aw==,3,12,1,5,11
ZGkACmVzuR8AAAAIBAx8Aw==,5,14,1,20,13
ZGkACmVzuR8AAAAIBAx8Aw==,0,9,1,7,13
ZGkACmVzuR8AAAAIBAx8Aw==,6,15,1,20,13
ZGkACmVzuR8AAAAIBAx8Aw==,2,18,1,5,13
ZGkACmVzuR8AAAAIBAx8Aw==,1,0,1,12,4
ZGkACmVzuR8AAAAIBAx8Aw==,1,0,1,15,4
ZGkACmVzuR8AAAAIBAx8Aw==,2,25,1,9,13
ZGkACmVzuR8AAAAIBAx8Aw==,0,30,1,9,13
ZGkACmWRdYUAAAAIYuJtAw==,3,2,0,2,12
ZGkACmWRdYUAAAAIYuJtAw==,3,2,0,9,12
ZGkACmWRdYUAAAAIYuJtAw==,3,2,0,2,12
ZGkACmWRdYUAAAAIYuJtAw==,3,2,2,20,0
ZGkACmWRdYUAAAAIYuJtAw==,3,2,2,20,0
ZGkACmWRdYUAAAAIYuJtAw==,3,2,2,20,0
ZGkADGSlsx0AAAAJAw2cAw==,3,12,3,4,10
ZGkADGSlsx0AAAAJAw2cAw==,3,12,3,7,10
ZGkADGSlsx0AAAAJAw2cAw==,0,6,2,8,5
ZGkADGSlsx0AAAAJAw2cAw==,1,0,1,8,5
ZGkADGSlsx0AAAAJAw2cAw==,3,12,1,8,5
ZGkADGSlsx0AAAAJAw2cAw==,3,12,1,22,5
ZGkADGSlsx0AAAAJAw2cAw==,5,4,2,22,5
ZGkADGSlsx0AAAAJAw2cAw==,0,6,2,8,5
ZGkADGSlsx0AAAAJAw2cAw==,0,6,2,12,5
ZGkADGSlsx0AAAAJAw2cAw==,0,6,2,8,5
ZGkADGSlsx0AAAAJAw2cAw==,0,6,2,15,5
ZGkADGSlsx0AAAAJAw2cAw==,0,6,2,12,5
ZGkADGSlsx0AAAAJAw2cAw==,5,4,2,8,5
ZGkADGSlsx0AAAAJAw2cAw==,5,4,2,8,5
ZGkADWQONSoAAAAIL2GfAw==,0,30,1,4,24
ZGkADWQONSoAAAAIL2GfAw==,2,1,0,7,24
ZGkADWQONSoAAAAIL2GfAw==,0,16,1,16,4
ZGkADWQONSoAAAAIL2GfAw==,6,22,2,21,4
ZGkADWQONSoAAAAIL2GfAw==,2,25,2,15,4
ZGkADWQONSoAAAAIL2GfAw==,1,24,2,7,24
ZGkADWWF91IAAAAIBbIXAw==,6,29,1,12,15
ZGkADWWF91IAAAAIBbIXAw==,6,5,1,22,15
ZGkADWWF91IAAAAIBbIXAw==,6,29,1,22,10
ZGkADWWF91IAAAAIBbIXAw==,0,30,2,22,10
ZGkADWWF91IAAAAIBbIXAw==,5,28,1,22,15
ZGkADmWJEQ4AAAAJB5/wAw==,4,3,2,22,23
ZGkADmWJEQ4AAAAJB5/wAw==,0,30,1,1,4
ZGkADmWJEQ4AAAAJB5/wAw==,0,30,1,10,4
ZGkADmWJEQ4AAAAJB5/wAw==,4,3,2,22,23
ZGkADmWJEQ4AAAAJB5/wAw==,0,30,1,1,4
ZGkADmWJEQ4AAAAJB5/wAw==,4,3,1,22,23
ZGmAAmVjuAoAAAAIVstkAw==,6,22,1,9,9
ZGmAAmVjuAoAAAAIVstkAw==,0,16,2,5,4
ZGmAAmVjuAoAAAAIVstkAw==,0,16,2,5,4
ZGmAAmVjuAoAAAAIVstkAw==,0,16,2,4,4
ZGmAAmVjuAoAAAAIVstkAw==,0,16,2,5,4
ZGmAAmVjuAoAAAAIVstkAw==,4,13,1,9,9
ZGmAAmVl+4AAAAAIC3lbAw==,4,3,0,4,13
ZGmAAmVl+4AAAAAIC3lbAw==,3,2,1,4,0
ZGmAAmVl+4AAAAAIC3lbAw==,4,3,0,13,13
ZGmAAmVl+4AAAAAIC3lbAw==,4,3,0,4,13
ZGmAAmVl+4AAAAAIC3lbAw==,4,3,0,4,13
ZGmAAmVl+4AAAAAIC3lbAw==,3,2,1,11,0
ZGmAAmVl+4AAAAAIC3lbAw==,4,3,0,4,13
ZGmABWTCfjIAAAAIBS0sAw==,5,28,1,7,3
ZGmABWTCfjIAAAAIBS0sAw==,3,2,1,16,24
ZGmABWTCfjIAAAAIBS0sAw==,6,29,1,10,24
ZGmABWTCfjIAAAAIBS0sAw==,5,28,1,21,24
ZGmABWTCfjIAAAAIBS0sAw==,5,28,1,0,3
ZGmABWTCfjIAAAAIBS0sAw==,3,2,1,19,24
ZGmABWVg6koAAAAICgpNAw==,2,1,1,11,17
ZGmABWVg6koAAAAICgpNAw==,5,14,0,4,4
ZGmABWVg6koAAAAICgpNAw==,4,20,0,16,17
ZGmABWVg6koAAAAICgpNAw==,0,6,1,4,17
ZGmABWVg6koAAAAICgpNAw==,5,4,1,11,17
ZGmABWVg6koAAAAICgpNAw==,6,5,0,4,17
ZGmABWVg6koAAAAICgpNAw==,6,5,0,16,17
ZGmABWVg6koAAAAICgpNAw==,2,18,1,4,17
ZGmABWVg6koAAAAICgpNAw==,5,14,0,4,4
ZGmABWVg6koAAAAICgpNAw==,2,1,1,4,17
ZGmABWVg6koAAAAICgpNAw==,3,12,1,4,17
ZGmABWVg6koAAAAICgpNAw==,6,5,1,4,17
ZGmABWVg6koAAAAICgpNAw==,5,4,1,4,17
ZGmABWVg6koAAAAICgpNAw==,3,19,1,16,17
ZGmABWVg6koAAAAICgpNAw==,5,4,1,4,17
ZGmABWVg6koAAAAICgpNAw==,6,5,1,4,17
ZGmABWVg6koAAAAICgpNAw==,2,1,0,4,17
ZGmABWVg6koAAAAICgpNAw==,1,17,1,4,17
ZGmABWVg6koAAAAICgpNAw==,5,14,0,16,17
ZGmABWVg6koAAAAICgpNAw==,5,4,1,4,17
ZGmABWVg6koAAAAICgpNAw==,5,4,1,11,17
ZGmABWVg6koAAAAICgpNAw==,5,4,0,4,17
ZGmABWVg6koAAAAICgpNAw==,4,3,1,4,17
ZGmACGU77nwAAAAIHP6YAw==,6,15,1,22,23
ZGmACGU77nwAAAAIHP6YAw==,4,13,0,22,23
ZGmACGU77nwAAAAIHP6YAw==,6,15,1,22,23
ZGmACGU77nwAAAAIHP6YAw==,2,25,1,12,15
ZGmACGU77nwAAAAIHP6YAw==,2,25,1,22,15
ZGmACGVSxwcAAAAIA1oVAw==,3,19,1,21,17
ZGmACGVSxwcAAAAIA1oVAw==,3,19,1,21,17
ZGmACGVSxwcAAAAIA1oVAw==,3,19,2,21,17
ZGmACGVSxwcAAAAIA1oVAw==,1,24,1,2,22
ZGmACGVSxwcAAAAIA1oVAw==,1,24,1,16,22
ZGmACGVSxwcAAAAIA1oVAw==,2,11,2,4,22
ZGmACGVSxwcAAAAIA1oVAw==,2,11,2,23,22
ZGmACGVSxwcAAAAIA1oVAw==,3,19,1,21,17
ZGmACGVSxwcAAAAIA1oVAw==,2,11,2,21,22
ZGmACGVSxwcAAAAIA1oVAw==,3,19,1,4,17
ZGmACGVSxwcAAAAIA1oVAw==,1,0,2,16,22
ZGmACGVSxwcAAAAIA1oVAw==,3,19,1,21,17
ZGmACGVSxwcAAAAIA1oVAw==,3,19,2,21,17
ZGmACGVSxwcAAAAIA1oVAw==,3,19,2,21,17
ZGmACGVSxwcAAAAIA1oVAw==,2,11,2,21,22
ZGmACGVSxwcAAAAIA1oVAw==,2,11,2,23,22
ZGmACGVSxwcAAAAIA1oVAw==,3,19,1,4,17
ZGmACGVSxwcAAAAIA1oVAw==,3,19,1,21,17
ZGmACGVSxwcAAAAIA1oVAw==,3,19,2,21,17
ZGmACWVfSgUAAAAIBdtvAw==,4,27,1,9,10
ZGmACWVfSgUAAAAIBdtvAw==,4,27,1,9,10
ZGmACWVfSgUAAAAIBdtvAw==,2,25,0,0,15
ZGmACWVfSgUAAAAIBdtvAw==,2,25,0,14,15
ZGoAA2OwtyUAAAAIR7JZAw==,4,27,1,14,14
ZGoAA2OwtyUAAAAIR7JZAw==,4,27,1,16,14
ZGoAA2OwtyUAAAAIR7JZAw==,6,15,2,7,15
ZGoAA2OwtyUAAAAIR7JZAw==,6,15,2,4,15
ZGoAA2OwtyUAAAAIR7JZAw==,6,15,2,7,15
ZGoAA2OwtyUAAAAIR7JZAw==,6,15,2,4,15
ZGoAA2PDGzwAAAAILqzQAw==,5,28,1,6,17
ZGoAA2PDGzwAAAAILqzQAw==,0,6,2,6,17
ZGoAA2PDGzwAAAAILqzQAw==,6,29,2,6,17
ZGoAA2PDGzwAAAAILqzQAw==,0,16,0,13,4
ZGoAA2PDGzwAAAAILqzQAw==,0,16,0,15,4
ZGoAA2PDGzwAAAAILqzQAw==,0,6,2,6,17
ZGoAA2PDGzwAAAAILqzQAw==,6,29,2,6,17
ZGoAA2PIx0sAAAAJBKsbAw==,4,3,1,22,15
ZGoAA2PIx0sAAAAJBKsbAw==,5,4,1,22,15
ZGoAA2PIx0sAAAAJBKsbAw==,0,11,1,3,5
ZGoAA2PIx0sAAAAJBKsbAw==,0,11,1,5,5
ZGoAA2PIx0sAAAAJBKsbAw==,5,21,0,5,15
ZGoAA2PIx0sAAAAJBKsbAw==,5,21,1,1,15
ZGoAA2PNAD4AAAAIY7EUAw==,3,2,2,10,22
ZGoAA2PNAD4AAAAIY7EUAw==,2,18,0,17,14
ZGoAA2PNAD4AAAAIY7EUAw==,6,8,2,4,14
ZGoAA2PNAD4AAAAIY7EUAw==,5,28,1,4,14
ZGoAA2PNAD4AAAAIY7EUAw==,3,19,0,14,14
ZGoAA2PNAD4AAAAIY7EUAw==,3,2,1,10,22
ZGoAA2PNAD4AAAAIY7EUAw==,5,21,2,17,14
ZGoAA2PNAD4AAAAIY7EUAw==,2,11,0,17,14
ZGoAA2PNj3MAAAAIGFgfAw==,6,10,1,1,4
ZGoAA2PNj3MAAAAIGFgfAw==,6,10,1,1,4
ZGoAA2PNj3MAAAAIGFgfAw==,6,22,1,1,10
ZGoAA2PNj3MAAAAIGFgfAw==,6,22,1,1,10
ZGoAA2POAdAAAAAJDPzLAw==,5,4,1,4,0
ZGoAA2POAdAAAAAJDPzLAw==,0,9,2,4,0
ZGoAA2POAdAAAAAJDPzLAw==,2,1,1,16,4
ZGoAA2POAdAAAAAJDPzLAw==,3,12,1,16,4
ZGoAA2POAdAAAAAJDPzLAw==,1,26,1,4,0
ZGoAA2POAdAAAAAJDPzLAw==,3,19,1,1,0
ZGoAA2POAdAAAAAJDPzLAw==,3,19,1,1,0
ZGoAA2PPzd4AAAAIW7CZAw==,5,4,2,13,24
ZGoAA2PPzd4AAAAIW7CZAw==,0,16,2,3,24
ZGoAA2PPzd4AAAAIW7CZAw==,6,5,3,13,5
ZGoAA2PPzd4AAAAIW7CZAw==,6,5,3,13,5
ZGoAA2PPzd4AAAAIW7CZAw==,6,5,3,13,5
ZGoAA2PQH8AAAAAIfNZLAw==,0,23,1,16,4
ZGoAA2PQH8AAAAAIfNZLAw==,6,22,2,7,21
ZGoAA2PQH8AAAAAIfNZLAw==,6,22,2,7,21
ZGoAA2PQH8AAAAAIfNZLAw==,6,22,2,7,21
ZGoAA2PQH8AAAAAIfNZLAw==,6,22,2,7,21
ZGoAA2PQH8AAAAAIfNZLAw==,6,22,2,7,21
ZGoAA2PQH8AAAAAIfNZLAw==,6,22,2,9,21
ZGoAA2PQH8AAAAAIfNZLAw==,3,12,1,16,4
ZGoAA2PV8iYAAAAJGLIxAw==,2,11,2,12,0
ZGoAA2PV8iYAAAAJGLIxAw==,2,11,1,15,12
ZGoAA2PV8iYAAAAJGLIxAw==,2,11,1,5,0
ZGoAA2PV8iYAAAAJGLIxAw==,2,11,2,15,0
ZGoAA2PV8iYAAAAJGLIxAw==,2,11,1,5,0
ZGoAA2PV8iYAAAAJGLIxAw==,2,11,2,12,0
ZGoAA2PV8iYAAAAJGLIxAw==,2,11,1,12,0
ZGoAA2PV8iYAAAAJGLIxAw==,2,11,1,12,0
ZGoAA2PV8iYAAAAJGLIxAw==,2,11,1,12,0
ZGoAA2PV8iYAAAAJGLIxAw==,2,11,1,15,12
ZGoAA2PV8iYAAAAJGLIxAw==,2,11,1,12,12
ZGoAA2PV8iYAAAAJGLIxAw==,2,11,1,5,0
ZGoAA2PjCbEAAAAJUU3cAw==,6,10,1,22,23
ZGoAA2PjCbEAAAAJUU3cAw==,6,10,1,22,23
ZGoAA2PjCbEAAAAJUU3cAw==,4,27,1,22,23
ZGoAA2PjCbEAAAAJUU3cAw==,1,0,1,22,23
ZGoAA2PjCbEAAAAJUU3cAw==,6,29,1,17,10
ZGoAA2PjCbEAAAAJUU3cAw==,0,16,1,22,10
ZGoAA2PjCbEAAAAJUU3cAw==,0,30,1,22,23
ZGoAA2Pn8ZIAAAAJJSySAw==,0,30,1,1,15
ZGoAA2Pn8ZIAAAAJJSySAw==,0,30,1,8,15
ZGoAA2Pn8ZIAAAAJJSySAw==,5,28,2,0,0
ZGoAA2Pn8ZIAAAAJJSySAw==,5,28,2,0,0
ZGoAA2Pn8ZIAAAAJJSySAw==,5,28,2,15,0
ZGoAA2PoYtUAAAAJTQOOAw==,6,5,1,14,15
ZGoAA2PoYtUAAAAJTQOOAw==,2,11,1,4,15
ZGoAA2PoYtUAAAAJTQOOAw==,2,18,2,1,4
ZGoAA2PoYtUAAAAJTQOOAw==,3,12,2,10,4
ZGoAA2PoYtUAAAAJTQOOAw==,1,10,1,2,15
ZGoAA2PoYtUAAAAJTQOOAw==,0,16,0,4,15
ZGoAA2Pp76EAAAAJUcszAw==,5,4,1,1,4
ZGoAA2Pp76EAAAAJUcszAw==,5,4,1,4,4
ZGoAA2Pp76EAAAAJUcszAw==,2,18,3,17,15
ZGoAA2Pp76EAAAAJUcszAw==,2,18,3,17,15
ZGoAA2PplngAAAAJNxe5Aw==,1,24,1,10,4
ZGoAA2PplngAAAAJNxe5Aw==,5,21,1,5,4
ZGoAA2PplngAAAAJNxe5Aw==,5,21,1,10,4
ZGoAA2PplngAAAAJNxe5Aw==,5,21,1,4,4
ZGoAA2PplngAAAAJNxe5Aw==,6,22,0,21,10
ZGoAA2PplngAAAAJNxe5Aw==,6,22,0,7,10
ZGoAA2Prf5AAAAAICMjRAw==,6,29,2,1,4
ZGoAA2Prf5AAAAAICMjRAw==,4,27,1,14,15
ZGoAA2Prf5AAAAAICMjRAw==,3,19,0,22,10
ZGoAA2Prf5AAAAAICMjRAw==,3,19,0,1,4
ZGoAA2Prf5AAAAAICMjRAw==,4,13,1,1,4
ZGoAA2Prf5AAAAAICMjRAw==,3,12,1,8,15
ZGoAA2Prf5AAAAAICMjRAw==,3,12,1,8,15
ZGoAA2Prf5AAAAAICMjRAw==,1,17,1,1,4
ZGoAA2Prf5AAAAAICMjRAw==,2,11,1,1,4
ZGoAA2Prf5AAAAAICMjRAw==,3,19,1,1,4
ZGoAA2Prf5AAAAAICMjRAw==,5,4,0,22,10
ZGoAA2Prf5AAAAAICMjRAw==,4,13,1,1,4
ZGoAA2Prf5AAAAAICMjRAw==,4,13,1,1,4
ZGoAA2Q/4xgAAAAIWo30Aw==,5,28,2,17,19
ZGoAA2Q/4xgAAAAIWo30Aw==,5,28,2,4,19
ZGoAA2Q/4xgAAAAIWo30Aw==,2,1,0,7,24
