estid,dayOfWeek,dayOfMonth,timeOfDay,url_category,domain_category,os,deviceType,li_age,li_gender,li_income,city_location,city_size,city_tech,city_urban,organization
ZGkACGU2p7wAAAAIS6eLAw==,6,15,1,15,0,0,1,5,0,0,3,2,0,1,0
ZGkACGU2p7wAAAAIS6eLAw==,6,15,1,12,0,0,1,5,0,0,3,2,0,1,0
ZGkACGU2p7wAAAAIS6eLAw==,0,6,1,23,24,0,1,5,0,0,3,2,0,1,0
ZGkACGU3E1AAAAAIYp1XAw==,0,30,1,8,23,0,1,5,0,2,0,1,0,1,3
ZGkACGU3E1AAAAAIYp1XAw==,0,30,1,22,23,0,1,5,0,2,0,1,0,1,3
ZGkACGU3E1AAAAAIYp1XAw==,0,30,1,22,15,0,1,5,0,2,0,1,0,1,3
ZGkACGU3E1AAAAAIYp1XAw==,0,23,0,22,15,0,1,5,0,2,0,1,0,1,3
ZGkACGU93dYAAAAIJreJAw==,1,26,1,22,23,0,1,5,0,5,0,0,1,2,3
ZGkACGU93dYAAAAIJreJAw==,5,4,1,22,23,0,1,5,0,5,0,0,1,2,3
ZGkACGU93dYAAAAIJreJAw==,0,30,1,22,23,0,1,5,0,5,0,0,1,2,3
ZGkACGU93dYAAAAIJreJAw==,3,19,2,12,23,0,1,5,0,5,0,0,1,2,3
ZGkACGU93dYAAAAIJreJAw==,3,19,2,22,23,0,1,5,0,5,0,0,1,2,3
ZGkACGU93dYAAAAIJreJAw==,4,13,1,22,23,0,1,5,0,5,0,0,1,2,3
ZGkACGU93dYAAAAIJreJAw==,4,20,1,22,15,0,1,5,0,5,0,0,1,2,3
ZGkACGU93dYAAAAIJreJAw==,4,20,1,22,15,0,1,5,0,5,0,0,1,2,3
ZGkACGU93dYAAAAIJreJAw==,2,25,1,8,23,0,1,5,0,5,0,0,1,2,3
ZGkACGVA9A0AAAAIA5X5Aw==,1,0,0,7,7,4,0,5,1,3,1,2,0,1,0
ZGkACGVA9A0AAAAIA5X5Aw==,4,3,1,1,4,4,0,5,1,3,1,2,0,1,0
ZGkACGVA9A0AAAAIA5X5Aw==,4,3,1,4,4,4,0,5,1,3,1,2,0,1,0
ZGkACGVA9A0AAAAIA5X5Aw==,1,0,0,4,7,4,0,5,1,3,1,2,0,1,0
ZGkACGVA9A0AAAAIA5X5Aw==,1,0,0,10,7,4,0,5,1,3,1,2,0,1,0
ZGkACGVA9A0AAAAIA5X5Aw==,1,0,0,10,7,4,0,5,1,3,1,2,0,1,0
ZGkACGVVjZwAAAAIQ8zbAw==,2,11,1,5,14,4,0,1,1,0,0,1,0,1,0
ZGkACGVVjZwAAAAIQ8zbAw==,1,26,1,1,9,4,0,1,1,0,0,1,0,1,0
ZGkACGVVjZwAAAAIQ8zbAw==,1,26,1,11,9,4,0,1,1,0,0,1,0,1,0
ZGkACGVVjZwAAAAIQ8zbAw==,1,26,1,11,9,4,0,1,1,0,0,1,0,1,0
ZGkACGVVjZwAAAAIQ8zbAw==,1,26,1,5,14,4,0,1,1,0,0,1,0,1,0
ZGkACGVVjZwAAAAIQ8zbAw==,1,26,1,15,14,4,0,1,1,0,0,1,0,1,0
ZGkACGVupCsAAAAJBoP7Aw==,1,0,1,9,9,0,1,3,1,5,2,0,1,1,0
ZGkACGVupCsAAAAJBoP7Aw==,3,2,1,9,9,0,1,3,1,5,2,0,1,1,0
ZGkACGVupCsAAAAJBoP7Aw==,3,2,1,9,9,0,1,3,1,5,2,0,1,1,0
ZGkACGVupCsAAAAJBoP7Aw==,5,28,1,8,10,0,1,3,1,5,2,0,1,1,0
ZGkACGVupCsAAAAJBoP7Aw==,5,28,1,9,10,0,1,3,1,5,2,0,1,1,0
ZGkACGVupCsAAAAJBoP7Aw==,5,28,1,9,10,0,1,3,1,5,2,0,1,1,0
ZGkACGVupCsAAAAJBoP7Aw==,0,30,1,9,9,0,1,3,1,5,2,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,0,30,0,16,4,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,3,2,0,16,4,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,6,5,1,4,10,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,6,5,1,7,10,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,6,5,0,2,4,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,2,18,0,16,4,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,0,30,1,16,3,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,0,30,1,16,4,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,0,11,1,3,3,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,0,9,0,7,4,0,1,5,0,3,0,0,1,1,0
ZGkACWTjmXwAAAAJE9erAw==,4,27,2,15,22,4,0,4,1,1,2,1,0,1,0
ZGkACWTjmXwAAAAJE9erAw==,0,6,1,21,4,4,0,4,1,1,2,1,0,1,0
ZGkACWTjmXwAAAAJE9erAw==,0,6,1,21,4,4,0,4,1,1,2,1,0,1,0
ZGkACWTjmXwAAAAJE9erAw==,0,6,1,21,4,4,0,4,1,1,2,1,0,1,0
ZGkACWTjmXwAAAAJE9erAw==,4,27,1,12,22,4,0,4,1,1,2,1,0,1,0
ZGkACWTjmXwAAAAJE9erAw==,4,27,1,5,22,4,0,4,1,1,2,1,0,1,0
ZGkACWTjmXwAAAAJE9erAw==,0,6,1,4,4,4,0,4,1,1,2,1,0,1,0
ZGkACWVrnekAAAAICFPAAw==,5,4,1,2,2,0,1,4,1,0,2,2,0,1,0
ZGkACWVrnekAAAAICFPAAw==,6,8,1,5,4,0,1,4,1,0,2,2,0,1,0
ZGkACWVrnekAAAAICFPAAw==,6,15,1,1,4,0,1,4,1,0,2,2,0,1,0
ZGkACWVrnekAAAAICFPAAw==,6,15,1,4,4,0,1,4,1,0,2,2,0,1,0
ZGkACWVrnekAAAAICFPAAw==,4,3,1,2,2,0,1,4,1,0,2,2,0,1,0
ZGkACWVrnekAAAAICFPAAw==,5,4,1,2,2,0,1,4,1,0,2,2,0,1,0
ZGkACmPG6ysAAAAIFHAzAw==,0,30,0,14,15,0,1,4,1,3,1,1,0,1,0
ZGkACmPG6ysAAAAIFHAzAw==,5,28,2,22,15,0,1,4,1,3,1,1,0,1,0
ZGkACmPG6ysAAAAIFHAzAw==,4,3,1,22,15,0,1,4,1,3,1,1,0,1,0
ZGkACmPG6ysAAAAIFHAzAw==,1,24,2,22,15,0,1,4,1,3,1,1,0,1,0
ZGkACmPG6ysAAAAIFHAzAw==,3,19,1,22,23,0,1,4,1,3,1,1,0,1,0
ZGkACmPG6ysAAAAIFHAzAw==,1,0,1,22,15,0,1,4,1,3,1,1,0,1,0
ZGkACmPG6ysAAAAIFHAzAw==,6,29,1,22,23,0,1,4,1,3,1,1,0,1,0
ZGkACmRlDQ0AAAAII4pQAw==,3,2,2,16,17,4,0,5,0,2,3,1,0,2,0
ZGkACmRlDQ0AAAAII4pQAw==,3,2,2,16,17,4,0,5,0,2,3,1,0,2,0
ZGkACmRlDQ0AAAAII4pQAw==,6,22,1,6,13,4,0,5,0,2,3,1,0,2,0
ZGkACmRlDQ0AAAAII4pQAw==,6,22,1,13,13,4,0,5,0,2,3,1,0,2,0
ZGkACmRlDQ0AAAAII4pQAw==,3,2,2,16,17,4,0,5,0,2,3,1,0,2,0
ZGkACmT+bzwAAAAIeHQ9Aw==,6,10,2,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,6,10,2,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,23,1,4,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,6,8,1,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,2,11,2,17,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,4,13,1,4,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,4,3,1,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,2,1,1,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,2,1,0,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,9,2,17,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,6,5,1,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,1,17,1,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,4,13,1,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,4,27,1,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,23,1,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,9,1,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,2,11,2,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,3,2,1,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,1,26,1,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,16,1,4,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,9,1,17,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,6,8,1,4,11,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,2,11,2,4,11,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,2,11,2,5,11,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,6,1,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,6,29,2,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,4,27,2,4,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,3,2,1,14,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,9,1,4,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,9,1,4,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,5,21,1,4,15,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,5,21,1,17,15,0,1,5,0,0,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,2,1,2,14,15,0,1,1,0,1,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,2,1,1,6,6,0,1,1,0,1,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,6,29,1,14,15,0,1,1,0,1,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,1,26,1,6,6,0,1,1,0,1,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,1,26,1,6,6,0,1,1,0,1,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,3,2,1,14,15,0,1,1,0,1,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,6,5,1,14,15,0,1,1,0,1,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,6,5,1,14,15,0,1,1,0,1,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,4,3,1,14,15,0,1,1,0,1,0,1,0,1,0
ZGkACmUM6+wAAAAJIeF7Aw==,3,12,1,1,11,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,5,4,2,7,8,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,0,6,1,8,8,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,5,4,1,7,8,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,5,4,2,7,8,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,6,5,1,7,8,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,3,12,1,1,11,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,3,12,1,4,11,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,3,12,1,5,11,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,5,4,1,7,8,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,5,4,1,8,8,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,3,12,1,5,11,0,1,4,1,4,1,1,0,1,1
ZGkACmVzuR8AAAAIBAx8Aw==,5,14,1,20,13,1,0,3,1,1,0,0,0,2,0
ZGkACmVzuR8AAAAIBAx8Aw==,0,9,1,7,13,1,0,3,1,1,0,0,0,2,0
ZGkACmVzuR8AAAAIBAx8Aw==,6,15,1,20,13,1,0,3,1,1,0,0,0,2,0
ZGkACmVzuR8AAAAIBAx8Aw==,2,18,1,5,13,1,0,3,1,1,0,0,0,2,0
ZGkACmVzuR8AAAAIBAx8Aw==,1,0,1,12,4,1,0,3,1,1,0,0,0,2,0
ZGkACmVzuR8AAAAIBAx8Aw==,1,0,1,15,4,1,0,3,1,1,0,0,0,2,0
ZGkACmVzuR8AAAAIBAx8Aw==,2,25,1,9,13,1,0,3,1,1,0,0,0,2,0
ZGkACmVzuR8AAAAIBAx8Aw==,0,30,1,9,13,1,0,3,1,1,0,0,0,2,0
ZGkACmWRdYUAAAAIYuJtAw==,3,2,0,2,12,0,1,3,0,5,0,2,0,1,1
ZGkACmWRdYUAAAAIYuJtAw==,3,2,0,9,12,0,1,3,0,5,0,2,0,1,1
ZGkACmWRdYUAAAAIYuJtAw==,3,2,0,2,12,0,1,3,0,5,0,2,0,1,1
ZGkACmWRdYUAAAAIYuJtAw==,3,2,2,20,0,0,1,3,0,5,0,2,0,1,1
ZGkACmWRdYUAAAAIYuJtAw==,3,2,2,20,0,0,1,3,0,5,0,2,0,1,1
ZGkACmWRdYUAAAAIYuJtAw==,3,2,2,20,0,0,1,3,0,5,0,2,0,1,1
ZGkADGSlsx0AAAAJAw2cAw==,3,12,3,4,10,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,3,12,3,7,10,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,6,2,8,5,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,1,0,1,8,5,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,3,12,1,8,5,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,3,12,1,22,5,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,5,4,2,22,5,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,6,2,8,5,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,6,2,12,5,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,6,2,8,5,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,6,2,15,5,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,6,2,12,5,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,5,4,2,8,5,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,5,4,2,8,5,0,1,4,0,5,1,1,0,1,3
ZGkADWQONSoAAAAIL2GfAw==,0,30,1,4,24,0,1,5,1,5,1,1,0,1,0
ZGkADWQONSoAAAAIL2GfAw==,2,1,0,7,24,0,1,5,1,5,1,1,0,1,0
ZGkADWQONSoAAAAIL2GfAw==,0,16,1,16,4,0,1,5,1,5,1,1,0,1,0
ZGkADWQONSoAAAAIL2GfAw==,6,22,2,21,4,0,1,5,1,5,1,1,0,1,0
ZGkADWQONSoAAAAIL2GfAw==,2,25,2,15,4,0,1,5,1,5,1,1,0,1,0
ZGkADWQONSoAAAAIL2GfAw==,1,24,2,7,24,0,1,5,1,5,1,1,0,1,0
ZGkADWWF91IAAAAIBbIXAw==,6,29,1,12,15,0,1,5,0,3,1,0,1,1,0
ZGkADWWF91IAAAAIBbIXAw==,6,5,1,22,15,0,1,5,0,3,1,0,1,1,0
ZGkADWWF91IAAAAIBbIXAw==,6,29,1,22,10,0,1,5,0,3,1,0,1,1,0
ZGkADWWF91IAAAAIBbIXAw==,0,30,2,22,10,0,1,5,0,3,1,0,1,1,0
ZGkADWWF91IAAAAIBbIXAw==,5,28,1,22,15,0,1,5,0,3,1,0,1,1,0
ZGkADmWJEQ4AAAAJB5/wAw==,4,3,2,22,23,0,1,5,0,5,1,0,0,2,0
ZGkADmWJEQ4AAAAJB5/wAw==,0,30,1,1,4,0,1,5,0,5,1,0,0,2,0
ZGkADmWJEQ4AAAAJB5/wAw==,0,30,1,10,4,0,1,5,0,5,1,0,0,2,0
ZGkADmWJEQ4AAAAJB5/wAw==,4,3,2,22,23,0,1,5,0,5,1,0,0,2,0
ZGkADmWJEQ4AAAAJB5/wAw==,0,30,1,1,4,0,1,5,0,5,1,0,0,2,0
ZGkADmWJEQ4AAAAJB5/wAw==,4,3,1,22,23,0,1,5,0,5,1,0,0,2,0
ZGmAAmVjuAoAAAAIVstkAw==,6,22,1,9,9,4,0,3,1,0,3,0,0,2,1
ZGmAAmVjuAoAAAAIVstkAw==,0,16,2,5,4,4,0,3,1,0,3,0,0,2,1
ZGmAAmVjuAoAAAAIVstkAw==,0,16,2,5,4,4,0,3,1,0,3,0,0,2,1
ZGmAAmVjuAoAAAAIVstkAw==,0,16,2,4,4,4,0,3,1,0,3,0,0,2,1
ZGmAAmVjuAoAAAAIVstkAw==,0,16,2,5,4,4,0,3,1,0,3,0,0,2,1
ZGmAAmVjuAoAAAAIVstkAw==,4,13,1,9,9,4,0,3,1,0,3,0,0,2,1
ZGmAAmVl+4AAAAAIC3lbAw==,4,3,0,4,13,4,0,5,1,3,2,1,0,1,1
ZGmAAmVl+4AAAAAIC3lbAw==,3,2,1,4,0,4,0,5,1,3,2,1,0,1,1
ZGmAAmVl+4AAAAAIC3lbAw==,4,3,0,13,13,4,0,5,1,3,2,1,0,1,1
ZGmAAmVl+4AAAAAIC3lbAw==,4,3,0,4,13,4,0,5,1,3,2,1,0,1,1
ZGmAAmVl+4AAAAAIC3lbAw==,4,3,0,4,13,4,0,5,1,3,2,1,0,1,1
ZGmAAmVl+4AAAAAIC3lbAw==,3,2,1,11,0,4,0,5,1,3,2,1,0,1,1
ZGmAAmVl+4AAAAAIC3lbAw==,4,3,0,4,13,4,0,5,1,3,2,1,0,1,1
ZGmABWTCfjIAAAAIBS0sAw==,5,28,1,7,3,1,0,3,0,4,3,0,1,1,0
ZGmABWTCfjIAAAAIBS0sAw==,3,2,1,16,24,1,0,3,0,4,3,0,1,1,0
ZGmABWTCfjIAAAAIBS0sAw==,6,29,1,10,24,1,0,3,0,4,3,0,1,1,0
ZGmABWTCfjIAAAAIBS0sAw==,5,28,1,21,24,1,0,3,0,4,3,0,1,1,0
ZGmABWTCfjIAAAAIBS0sAw==,5,28,1,0,3,1,0,3,0,4,3,0,1,1,0
ZGmABWTCfjIAAAAIBS0sAw==,3,2,1,19,24,1,0,3,0,4,3,0,1,1,0
ZGmABWVg6koAAAAICgpNAw==,2,1,1,11,17,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,5,14,0,4,4,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,4,20,0,16,17,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,0,6,1,4,17,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,5,4,1,11,17,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,6,5,0,4,17,1,0,3,0,4,3,0,1,2,0
ZGmABWVg6koAAAAICgpNAw==,6,5,0,16,17,1,0,3,0,4,3,0,1,2,0
